certificates,company,description,direct_placement,eeo,eeo_settings,end_date,end_date_readable,end_date_str,experience,facilities,healthcare_data,job_id,job_udfs,licenses,location,main_location,other_locations,page_number,pay_frequency,pay_rate,position_type,post_date,post_date_readable,post_date_str,primary_recruiter_email,primary_recruiter_name,primary_recruiter_phone,ref_no,request_type,scraped_at,screening_enabled,screenings,source_company,source_url,source_url_base,start_date,start_date_readable,start_date_str,title,working_remote
{},,Days,0,{},{},0,,,,[],{},31043563,[],{},"Santa Monica, CA",,[],,,,,1756308514000,2025-08-27 11:28:34,,,,,25-37844,searchjobsportal,113378.90468775,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Rehab Specialists - Santa Monica,
{},,Variable - Days,0,{},{},0,,,,[],{},31043562,[],{},"York, ME",,[],,,,,1756308514000,2025-08-27 11:28:34,,,,,25-37843,searchjobsportal,113378.904860875,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,CRMA - Sentry Hill at York Harbor,
{},,Variable - Days; Variable - Evenings/Nights,0,{},{},0,,,,[],{},31043561,[],{},"York, ME",,[],,,,,1756308514000,2025-08-27 11:28:34,,,,,25-37842,searchjobsportal,113378.904906958,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,CNA - Sentry Hill at York Harbor,
{},,Days,0,{},{},0,,,,[],{},31043557,[],{},"Stanwood, WA",,[],,,,,1756308513000,2025-08-27 11:28:33,,,,,25-37838,searchjobsportal,113378.904941125,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Joint Academy - Stanwood,
{},,Variable - Days,0,{},{},0,,,,[],{},31043558,[],{},"Pendleton, OR",,[],,,,,1756308513000,2025-08-27 11:28:33,,,,,25-37839,searchjobsportal,113378.904971708,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Occupational Therapist - Willowbrook Post Acute,
{},,Days,0,{},{},0,,,,[],{},31043560,[],{},"Walnut Creek, CA",,[],,,,,1756308513000,2025-08-27 11:28:33,,,,,25-37841,searchjobsportal,113378.905003875,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Mammography - Bass Medical Group,
{},,Days,0,{},{},0,,,,[],{},31043559,[],{},"Greeley, CO",,[],,,,,1756308513000,2025-08-27 11:28:33,,,,,25-37840,searchjobsportal,113378.905034041,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Occupational Therapist Assistant - Pam Health Rehabilitation Hospital of Greeley,
{},,Nights,0,{},{},0,,,,[],{},31043552,[],{},"John Day, OR",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37833,searchjobsportal,113378.905066875,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,RN - L&D / float Med Surg - Blue Mountain Hospital District,
{},,Days,0,{},{},0,,,,[],{},31043555,[],{},"Dayton, OH",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37836,searchjobsportal,113378.905097333,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist - Arcadia Care at Dayton,
{},,Days,0,{},{},0,,,,[],{},31043554,[],{},"Washington Township, NJ",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37835,searchjobsportal,113378.905126625,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Atlas Healthcare Washington Township - Enhance Therapies,
{},,Days,0,{},{},0,,,,[],{},31043553,[],{},"Sarasota, FL",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37834,searchjobsportal,113378.905156125,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist - Aspire at Beneva,
{},,Days,0,{},{},0,,,,[],{},31043556,[],{},"Emmett, ID",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37837,searchjobsportal,113378.905186416,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Mountain Land Physical Therapy - Emmett,
{},,Days,0,{},{},0,,,,[],{},31043546,[],{},"Tallahassee, FL",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37828,searchjobsportal,113378.905218333,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist Assistant - Aspire at Tallahassee,
{},,Days,0,{},{},0,,,,[],{},31043548,[],{},"Cincinnati, OH",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37830,searchjobsportal,113378.905248083,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist Assistant,
{},,Days,0,{},{},0,,,,[],{},31043549,[],{},"Vernon, CT",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37831,searchjobsportal,113378.905279333,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist - Complete Care at Fox Hill,
