title,date,jobId,location,description,url,scraped_at,page_number,Contractor
Princ Software Apps Engineer,08/26/2025,25-05363,"Remote, CA","Responsibilities:  As an Automation Engineer, you'll be a critical contributor to the quality and efficiency of the Yahoo Mail iOS application. Your responsibilities will include:  • Leading the design, development, and implementation of a robust, scalable automation testing pipeline for the Yahoo Mail iOS app, driving comprehensive test coverage and efficient execution within our CI/CD syst...",https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675401,1,Calsoft Labs Inc.
Digital Accessibility Project Manager,08/26/2025,25-05362,"Hartford, CT",Digital Accessibility Project Manager,https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675405,1,Calsoft Labs Inc.
Engineering - Site Reliability Engineer 3,08/26/2025,25-05361,"Los Angeles, CA",Job Description: ** Max bill rate ***/hr **  Comments for Suppliers:,https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675406,1,Calsoft Labs Inc.
Project Manager - Jr Level,08/26/2025,25-05360,TN,Project Manager - Jr Level,https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675407,1,Calsoft Labs Inc.
Princ Software Apps Engineer,08/26/2025,25-05359,"Remote, WA","Responsibilities:   As an Automation Engineer, you'll be a critical contributor to the quality and efficiency of the Yahoo Mail Android application. Your responsibilities will include:   • Leading the design, development, and implementation of a robust, scalable automation testing pipeline for the Yahoo Mail Android app, driving comprehensive test coverage and efficient execution within our ...",https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675408,1,Calsoft Labs Inc.
Business Analyst,08/25/2025,25-05355,"Culver City, CA","Business Analyst with experience within a media or entertainment company working with vendors, post-production, video & audio assets, etc.  Ability to work with range of people from execs to admins to large groups, great communication, team oriented, attention to detail.  Ideally looking for someone who has worked on technology transformations for systems that are driving multimillion dollar conte...",https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675409,1,Calsoft Labs Inc.
.NET Programmer Analyst 3,08/25/2025,25-05354,VA,.NET Programmer Analyst 3,https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675410,1,Calsoft Labs Inc.
Permit Specialist,08/25/2025,25-05353,TN,Permit Specialist,https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675411,1,Calsoft Labs Inc.
Digital Accessibility Web Developer,08/25/2025,25-05352,"Hartford, CT",Senior Developer - Digital Accessibility Web Developer,https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675412,1,Calsoft Labs Inc.
Digital Accessibility Tester,08/25/2025,25-05351,CT,Digital Accessibility Tester,https://www2.jobdiva.com/portal/?a=m9jdnw9bk529dob7b0nhj8hmrmhgxe030ekfy8ww115xk0jkq5bxt25ll3hbstat&compid=-1#/,2025-08-27T15:30:16.675413,1,Calsoft Labs Inc.
