title,date,jobId,location,description,url,scraped_at,page_number,Contractor
Data Science and Machine Learning Associate,08/26/2025,25-02754,"Dearborn, MI","Company Overview    Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.    Job Opportunity    We are currently seeking a professional for a W2 contract opportunity in Dearborn, MI. This role has the pot...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843010,1,DECHEN CONSULTING GROUP INC.
Full-stack software engineer,08/25/2025,25-02743,"Dearborn, MI","About Dechen Consulting Group (DCG)    Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.    Job Opportunity    We are currently seeking a candidate for a W2 contract opportunity in Dearborn, MI. This ...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843017,1,DECHEN CONSULTING GROUP INC.
Software Engineer (317746908),08/22/2025,25-02739,"Various unanticipated work locations throughout the United States, MI","Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.      Software Engineer (317746908)    Job Description:    Develop dashboards and reports using SQL, QlikView, Qlik Sense and Alteryx to support divers...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843018,1,DECHEN CONSULTING GROUP INC.
Software Engineer (322342446),08/22/2025,25-02738,"Various unanticipated work locations throughout the United States, MI","Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.      Software Engineer (322342446)    Job Description:    Optimize and productionize machine learning models for deployment to endpoints, ensuring rea...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843019,1,DECHEN CONSULTING GROUP INC.
Software Engineer (317748120),08/22/2025,25-02737,"Various unanticipated work locations throughout the United States, MI","Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.      Software Engineer (317748120)  Job Description:    Design and develop APIs to connect to SAP/Non-SAP using RFC, ALE/IDOCs, Output Programming usi...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843020,1,DECHEN CONSULTING GROUP INC.
Vehicle Software Systems Engineering (VSSE),08/15/2025,25-02707,"Dearborn, MI","About Dechen Consulting Group (DCG)    Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.    Job Opportunity    We are currently seeking a skilled professional for a W2 contract opportunity in Dearborn...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843021,1,DECHEN CONSULTING GROUP INC.
Data Engineer,08/08/2025,25-02668,"Dearborn, MI","About Dechen Consulting Group (DCG)    Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.    Opportunity Overview    We are currently seeking a professional for a W2 contract opportunity in Dearborn, M...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843022,1,DECHEN CONSULTING GROUP INC.
Full Stack Software Engineer,08/04/2025,25-02637,"Dearborn, MI","About Dechen Consulting Group (DCG)    Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.    Job Opportunity    We are currently seeking a professional for a W2 contract opportunity in Dearborn, MI. Th...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843023,1,DECHEN CONSULTING GROUP INC.
Project Manager,08/01/2025,25-02631,"Dearborn, MI","About Dechen Consulting Group (DCG)    Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.    Opportunity Overview    We are currently seeking a professional for a W2 contract opportunity in Dearborn, M...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843023,1,DECHEN CONSULTING GROUP INC.
Enterprise Architect,07/30/2025,25-02618,"Colonial Heights, VA","About Dechen Consulting Group (DCG)    Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.    We are currently seeking a candidate for a C2C opportunity in Colonial Heights, VA. This role has the potent...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843024,1,DECHEN CONSULTING GROUP INC.
Sr. Business Analyst,07/29/2025,25-02613,"Colonial Heights, VA","About Dechen Consulting Group (DCG)    Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.    We are currently seeking a professional for a C2C opportunity in Colonial Heights, VA. This role has the pot...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843025,1,DECHEN CONSULTING GROUP INC.
Application Manager,07/29/2025,25-02612,"Atlanta, GA","About Dechen Consulting Group (DCG)    Dechen Consulting Group (DCG) is a rapidly expanding, innovative IT Professional Services and Management Consulting company with a track record of more than twenty-five years in delivering skilled professionals to our clients across diverse sectors.    We are currently seeking a candidate for a C2C opportunity in Atlanta, GA. This role has the potential to ex...",https://www2.jobdiva.com/portal/?a=cojdnwfouhl1niksfx6fesga32blwr0af22j37hapx0vwrsbo77mv52baa6tnhma&compid=-1#/,2025-08-27T15:34:33.843026,1,DECHEN CONSULTING GROUP INC.
