title,date,jobId,location,description,url,scraped_at,page_number,Contractor
Project Manager,08/27/2025,25-06955,"New York, NY","Job Description :         Qualifications & Experience         8+ years of hands-on experience in IT project management with complete ownership of project delivery         Proven track record of delivering projects using Agile methodologies, with a solid grasp of Agile frameworks, metrics, and best practices         Experience managing large, cross-functional teams and leading technology-driven bus...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829241,1,Expedite Technology Solutions LLC
US_East | IT Consultant - Application Server Technologies_L3,08/27/2025,25-06946,IL,"Possible 3 Month CTH | No Fees | Do Not Re-Post | Confidential  Skype interview is mandatory please provide the candidates skype ID, VIDEO INTERVIEW IS MANDATORY. NO CPT ALLOWED.    Submit candidates under their legal name and use only *** template  Candidate’s photo ID IS MANDATORY FOR ALL CANDIDATES EVEN CITIZENS.  ------------------------------  In your submission include:  Phone #:  Emai...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829246,1,Expedite Technology Solutions LLC
US_West | Software Developer - Java /JEE / Java Frameworks_L2,08/26/2025,25-06939,IL,"""Possible 3 Month CTH | No Fees | Do Not Re-Post| Confidential    TMR ID: # WQTPMI  Role: Full Stack Java Developer  Work location: Greenwood Village, Denver , CO.  Background and Meet and Greet: MANDATORY    Job Description:    • 7+ years of experience in full-stack development, with a strong focus on Java.  • Deep expertise with Spring Boot and microservices architecture.  • ex...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829247,1,Expedite Technology Solutions LLC
US_East | Solution Enterprise Architect - Workflow_L3,08/26/2025,25-06937,IL,"""Possible 3 Month CTH | No Fees | Do Not Re-Post| Confidential    TMR ID: # PITZNE  Role: Sr. Teamcenter Solution Architect  Work location: Remote.  Background and Meet and Greet: MANDATORY    Job Description:    Sr. Teamcenter Solution Architect plays a pivotal role in designing, implementing, and optimizing Siemens Teamcenter PLM (Product Lifecycle Management) solutions within an organization.  ...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829248,1,Expedite Technology Solutions LLC
US_West | Network Implementation Engineer_L2,08/26/2025,25-06935,IL,"Possible 3 Month CTH | No Fees | Do Not Re-Post | Confidential  Skype interview is mandatory please provide the candidates skype ID, VIDEO INTERVIEW IS MANDATORY. NO CPT ALLOWED.    Submit candidates under their legal name and use only *** template  Candidate’s photo ID IS MANDATORY FOR ALL CANDIDATES EVEN CITIZENS.  ------------------------------  In your submission include:  Phone #:  Emai...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829248,1,Expedite Technology Solutions LLC
US_East | Programme Manager_L2,08/26/2025,25-06934,IL,"Possible 3 Month CTH | No Fees | Do Not Re-Post | Confidential  Skype interview is mandatory please provide the candidates skype ID, VIDEO INTERVIEW IS MANDATORY. NO CPT ALLOWED.    Submit candidates under their legal name and use only *** template  Candidate’s photo ID IS MANDATORY FOR ALL CANDIDATES EVEN CITIZENS.  ------------------------------  In your submission include:  Phone #:  Emai...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829249,1,Expedite Technology Solutions LLC
US_West | Software Developer - Mainframe Languages_L2,08/26/2025,25-06933,IL,"GTD # 5KTVSC    Possible 3 Month CTH | No Fees | Do Not Re-Post | Confidential  Submit candidates under their legal name and use only *** template    IMPORTANT INFORMATION:    Role: Python Developer  Work Location: Philadelphia, PA    Please send it with this information  Legal name:  Location (City and State):  Relocate?  Rate:  Availability:  Phone #:  Mobile#:  Email address:  Visa type:  Hirin...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829250,1,Expedite Technology Solutions LLC
US_East | Software Developer - Application Server Technologies_L1,08/26/2025,25-06932,IL,"""Possible 3 Month CTH | No Fees | Do Not Re-Post| Confidential    TMR ID: SETSRO  Role: Validation / Performance Testing Engineer  Work location: Auburn Hills, MI, USA  Background and Meet and Greet: MANDATORY    Job Description:  ""*Issue the appropriate documentation for issue resolution including supporting the team where the issue crosses multiple vehicle disciplines.  *Support the vehicle inte...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829251,1,Expedite Technology Solutions LLC
Network Lead,08/26/2025,25-06910,"Atlanta, GA","Network Lead will serve as a Lead engineer for the Networking Team. The Network Lead is responsible for leading a team of network engineers, and day-to-day operational activities and initiatives aligned to the organization goals and expectations.  Network Lead will play a key role as a liaison between the network team, business units, and the organization's management, ensuring that technology ini...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829251,1,Expedite Technology Solutions LLC
"IT Manager Senior, Incident Response & Continuity Manager",08/26/2025,25-06909,"Atlanta, GA","General Description and Classification Standards   The Incident Response & Continuity Manager reports to the Director of Service Delivery, with a matrix responsibility to the Director of the Office of Infrastructure and Technology. This position has accountability for managing and coordinating incident response efforts for AIM.      The role of the Incident Response Manager is a collaborative one ...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829252,1,Expedite Technology Solutions LLC
DOAS Project Coordinator (SPD),08/26/2025,25-06908,"Atlanta, GA",Short Description:  We are seeking a project coordinator to  support the Human Resource Administration program and related technology initiatives.  This person will be responsible for keeping  initiatives moving on track through all phases of the project life cycle.    Complete Description:  The candidate MUST be local and be able to come to the  office.    GENERAL DESCRIPTION:      We are seeking...,https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829253,1,Expedite Technology Solutions LLC
Fullstack Developer,08/26/2025,25-06907,"Foster City, CA","Description:    	5+ years of enterprise software development experience.  	Thorough proficiency and understanding of Node.js, React.js and its core principles.  	Strong backend experience using Node.js, including integration with RESTful APIs.  	Experience with REST architectural patterns and experience in building RESTful services.  	Deep knowledge of industry standards and best practices for lar...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829253,1,Expedite Technology Solutions LLC
Technical Program Manager,08/26/2025,25-06906,"Foster City, CA","Description:       	   5+ years of professional experience in project and/or program management     	   Experience managing hardware design projects in the semiconductor industry     	   Background in design engineering, validation engineering, or verification engineering     	   Experience building relationships and communicating with customers     	   Experience managing different phases of long...",https://www2.jobdiva.com/portal/?a=m0jdnwhxchkqupe3v05u7ukewhoofs03cdtb9fkmmvcvqf58l5mr64elovcmibzy#/,2025-08-27T15:36:36.829254,1,Expedite Technology Solutions LLC
