title,date,jobId,location,description,url,scraped_at,page_number,Contractor
"IT BA - Asset Work Management, Electric Generation Interconnection (EGI)",08/27/2025,25-25368,"Oakland, CA","LOWER PREFERRED VENDOR BILL RATE (MSP fee included): *** - ***      ***OPEN TO NON -LOCALS BUT HM PREFERS LOCAL *** Non-locals must be willing and committed to work PST hours.   ***Hybrid, onsite as needed and will probably be limited to 1-2 times/month****      TOP THINGS:   - Asset Work Management, Electric Generation Interconnection (EGI)   - utilities similar to ***   - SAP Work and Asset Mana...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235549,1,GTT LLC
Phlebotomy - Phlebotomist I - 1st Shift,08/27/2025,25-25367,"Shakopee, MN","Shift/Time Zone: Central  Monday through Friday, with one 30-minute break each day. Candidates must work 8-hour shifts, totaling 40 hours per week, and be flexible to cover various shift times. The site operates from 6:00 AM to 6:00 PM.    Description:   Job Description: The Patient Services Representative I (PSR I) represents the face of the company to patients who come in, both as part of their ...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235558,1,GTT LLC
Business Analyst II & III,08/27/2025,25-25365,"Toronto, ON","Position Title: Business Analyst - TDJP00056121 & TDJP0056123    Business Unit: NFRM Business Management & Strategy 1 (S_1014608)    Duration: 15+ months    Work Location:    	Hybrid: 4 days onsite per week starting in November, 2 days week now   	Address: 66 Wellington Street West    SUMMARY OF DAY TO DAY RESPONSIBILITIES:      Job Description:   Do you want the opportunity to help s...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235559,1,GTT LLC
Recruiting Coordinator,$35.00-36.06/hour,08/27/2025,25-25363,"At ***, people are at the heart of everything we do, and the Recruiting Coordinator (RC) plays a pivotal role in building the teams that drive our success. As an RC, you'll be the backbone of the recruitment process, ensuring that every candidate's journey—from interview scheduling to onboarding—is seamless, efficient, and reflects the high standards of GAF. You'll coordina...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235560,1,GTT LLC
CAN - IT - Security Specialist V,08/27/2025,25-25362,"Toronto, ON","TDJP00056056 - Bradley   ASSIGNMENT DETAILS:   # of positions: 1   Position Title: CAN - IT - Security Specialist V      Start Date: ASAP   Duration: 1 year   Extension possible: Yes   Conversion Possible: Yes      Cost Center: 5592   Business Unit: 4 - Chief Information Security Office      Schedule: M-F, core business hours   OT: As needed (not likely)   Rotation: No      Budget/Bill Rate: ***$ ...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235562,1,GTT LLC
Business Analyst 5,08/27/2025,25-25361,"Boston, MA","Job Title: Senior Data Analyst   Location: Hybrid - Boston/Springfield, MA   Experience Required: 6+ years in data analysis; 2+ years supporting SAP migration projects preferred   Job Summary:   We are seeking a highly analytical and collaborative Senior Data Analyst to support a complex SAP R/3 to S/4HANA finance migration. This individual will play a key role in Enterprise Data Warehouse and Ope...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235563,1,GTT LLC
"Financial Analyst -Power BI, AO, Excel",08/27/2025,25-25357,"San Jose, CA",ONLY SUBMIT CANDIDATES CURRENTLY RESIDING LOCAL TO BAY AREA/WORK LOCATION-SAN JOSE. ASSIGNMENT IS HYBRID AND MOSTLY REMOTE BUT REQUIRED ON-SITE AS NEEDED IN SAN JOSE. *** LAPTOP TO BE ISSUED AND ANY ADDIITONAL EQUIPMENT NEEDED. PERSONAL PHONE REQUIRED AND WITH MANAGER PRIOR APPROVAL A PRE-DETERMINED AMOUNT FOR CELL AND INTERNET CAN BE EXPENSED MONTHLY.      TOP THINGS LOOKING FOR:   1) Power BI   ...,https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235564,1,GTT LLC
Phlebotomy - Phlebotomist II - 1st Shift,08/27/2025,25-25356,"Fair Lawn, NJ","Shift/Time Zone: Monday-Friday 8:30a-4:30p  22-18 Broadway Suite 101  Fair Lawn    Description:   Job Description: The Patient Services Representative II (PSR II) represents the face of our company to patients who come in, both as part of their health routine or for insights into life-defining health decisions. The PSR II draws quality blood samples from patients and prepares those specimens for l...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235565,1,GTT LLC
Construction Manager,08/27/2025,25-25352,"Houston, TX","We are seeking a Construction Manager (  ""CM”) to join American Tower's Site Development organization. The Site Development team delivers all new assets and customer services programs and manages capital improvement and structural redevelopment projects across the Company's portfolio. Day to day you will administer, coordinate, and oversee field-based construction activities on assigned...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235566,1,GTT LLC
Construction Manager,08/27/2025,25-25351,"Atlanta, GA","We are seeking a Construction Manager ( ""CM”) to join American Tower's Site Development organization. The Site Development team delivers all new assets and customer services programs and manages capital improvement and structural redevelopment projects across the Company's portfolio. Day to day you will administer, coordinate, and oversee field-based construction activities on a...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235568,1,GTT LLC
PKI Engineer - KeyFactor,08/27/2025,25-25346,"Raleigh, NC","Strong, highly technical PKI Engineer, with experience in design, build, and implementation of Certificate Lifecycle Management(CLM) Tools. Support implementing new KeyFactor CLM (SaaS based). KeyFactor Command / EBJCA experience strongly preferred      This role will assist in the deployment and configuration of a new instance of KeyFactor Command and KeyFactor EBJCA SaaS solution to support cert...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235569,1,GTT LLC
Chronic Registered Nurse,08/27/2025,25-25344,"Lafayette, IN","Primary Job Title:  Chronic Registered Nurse       Alternate/Related Job Titles:      	  	Hemodialysis RN  	  	  	Renal Care Registered Nurse  	  	  	Dialysis Staff Nurse  	  	  	Chronic Care RN  	  	  	Kidney Care Nurse  	         Location:  Lafayette, IN       Onsite Flexibility:  Onsite       Contract Details:      	  	Position Type: Contract  	  	  	Contract Duration: 3 months  	  	  	Start: 0...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235570,1,GTT LLC
Chronic Registered Nurse,08/27/2025,25-25343,"Baraboo, WI","Primary Job Title:  Chronic Registered Nurse    Alternate/Related Job Titles:      	  	Dialysis Registered Nurse  	  	  	Hemodialysis RN  	  	  	Nephrology RN  	  	  	Renal Care Nurse  	  	  	Chronic Care Nurse – RN  	      Location:  Baraboo, WI  Onsite Flexibility:  Onsite    Contract Details:      	  	Position Type: Contract  	  	  	Contract Duration: 3 months  	  	  	Start: 09/22/2025  	...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235571,1,GTT LLC
Patient Care Technician,08/27/2025,25-25342,"Decatur, IL","Primary Job Title:  Patient Care Technician       Alternate/Related Job Titles:  Dialysis Technician  Healthcare Support Technician  Clinical Care Assistant  Patient Services Technician  Medical Support Specialist       Location:  Decatur, IL       Onsite Flexibility:  Onsite       Contract Details:      	  	Position Type: Contract  	  	  	Contract Duration: 3 months  	  	  	Start: 09/22/2025  	  ...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235573,1,GTT LLC
IT Analyst IV - Technical Support,08/27/2025,25-25340,"Toronto, ON","Primary Job Title:  IT Analyst IV – Technical Support    Alternate/Related Job Titles:      	  	Application Support Analyst  	  	  	Technical Support Specialist  	  	  	IT Access Management Analyst  	  	  	Systems Support Analyst  	  	  	AML Application Support Specialist  	      Location:  Toronto, ON  Onsite Flexibility:  Hybrid (Onsite 2 days weekly until Nov 3; increasing to 4 days weekl...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235574,1,GTT LLC
Call Center Representative,$22-23/hour,08/27/2025,25-25339,"Primary Job Title:  Call Center Representative       Alternate/Related Job Titles:  Financial Services Representative  Inbound Banking Specialist  Customer Support Representative – Financial Services  Contact Center Agent  Client Service Associate       Location:  Worth, IL       Onsite Flexibility:  Onsite training, then fully remote (CST)       Contract Details:      	  	Position Type: Con...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235575,1,GTT LLC
Assistant Construction Manager - Water (Norfolk),08/27/2025,25-25338,"Chesapeake, VA","Primary Job Title:  Assistant Construction Manager    Alternate/Related Job Titles:      	  	Construction Project Coordinator  	  	  	Junior Project Manager – Construction  	  	  	Site Construction Supervisor  	  	  	Project Engineer – EPC  	  	  	Infrastructure Project Coordinator  	      Location:  Chesapeake, VA  Onsite Flexibility:  Onsite    Contract Details:      	  	Position Typ...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235577,1,GTT LLC
Project Manager,08/27/2025,25-25336,"Woburn, MA","Primary Job Title:  Project Manager       Alternate/Related Job Titles:  IT Project Manager  Technology Project Coordinator  Software Implementation Manager  Program Manager – IT  Information Systems Project Manager       Location:  Woburn, MA       Onsite Flexibility:  Hybrid (Monday & Friday remote; Tuesday–Thursday onsite)       Contract Details:      	  	Position Type: Contract...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235578,1,GTT LLC
Data Center Technician,08/27/2025,25-25331,"Colorado Springs, CO","Primary Job Title:  Data Center Technician    Alternate/Related Job Titles:      	  	Data Center Facilities Technician  	  	  	HVAC Maintenance Technician  	  	  	Critical Environment Technician  	  	  	Data Infrastructure Support Technician  	  	  	Mechanical Systems Technician  	      Location:  Colorado Springs, CO  Onsite Flexibility:  Onsite    Contract Details:      	  	Position Type: Contra...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235579,1,GTT LLC
Data Center Technician,08/27/2025,25-25329,"Elk Grove, IL","Primary Job Title:  Data Center Technician - Engineering & Technical Services       Alternate/Related Job Titles:  IT Infrastructure Technician  Data Center Operations Technician  Server Rack & Stack Technician  Cable Installation Technician  Network Equipment Installer       Location:  Elk Grove, IL       Onsite Flexibility:  Onsite       Contract Details:      	  	Position Type: Con...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:10.235580,1,GTT LLC
"IT BA - Asset Work Management, Electric Generation Interconnection (EGI)",08/27/2025,25-25368,"Oakland, CA","LOWER PREFERRED VENDOR BILL RATE (MSP fee included): *** - ***      ***OPEN TO NON -LOCALS BUT HM PREFERS LOCAL *** Non-locals must be willing and committed to work PST hours.   ***Hybrid, onsite as needed and will probably be limited to 1-2 times/month****      TOP THINGS:   - Asset Work Management, Electric Generation Interconnection (EGI)   - utilities similar to ***   - SAP Work and Asset Mana...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:14.333284,2,GTT LLC
Phlebotomy - Phlebotomist I - 1st Shift,08/27/2025,25-25367,"Shakopee, MN","Shift/Time Zone: Central  Monday through Friday, with one 30-minute break each day. Candidates must work 8-hour shifts, totaling 40 hours per week, and be flexible to cover various shift times. The site operates from 6:00 AM to 6:00 PM.    Description:   Job Description: The Patient Services Representative I (PSR I) represents the face of the company to patients who come in, both as part of their ...",https://www1.jobdiva.com/portal/?a=5cjdnwenzpqejkgxijtvgahld0va90009c0e3c8jutidwbg0unjxodtsm81az828&compid=0#/,2025-08-27T15:38:14.333298,2,GTT LLC
