title,date,jobId,location,description,url,scraped_at,page_number,Contractor
Scrum Master,08/26/2025,25-02274,"Palm beach, FL","Role:- Scrum master   Location:- Fremont or San Jose, CA      Summary   We are seeking a Scrum Master to guide Agile teams in delivering high-quality products efficiently. The role involves facilitating daily stand-ups, sprint planning, retrospectives, and removing impediments to ensure smooth delivery. You will collaborate closely with Product Owners, Developers, and stakeholders to drive continu...",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108873,1,International Solution Sources Inc 
SAP RAR,08/26/2025,25-02273,N/A,"Role:- SAP RAR   Remote    Design, configure, and implement SAP Revenue Accounting and Reporting (RAR) solutions in compliance with ASC 606 / IFRS 15.   Collaborate with Finance, IT, and Business teams to define requirements and integrate RAR with SD, FI/CO, and other SAP modules.   Manage end-to-end revenue recognition processes including contracts, performance obligations, allocation rules, and ...",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108877,1,International Solution Sources Inc 
Cloud Database Engineer,08/26/2025,25-02272,"Malvern, PA","RT | Cloud Database Engineer (Smith), 08182025GS1 | Accepting Candidates | P1 | Cloud | _Job #1100982 | Open         Location: Malvern, PA    Locals Only.    Responsibilities      	Will be a member of the Cloud Database Service Team.   	We require a mix of development and infrastructure skills:       Qualifications      	Python & Cloudformation  	AWS Lambda development / Step Functions  	...",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108878,1,International Solution Sources Inc 
Sr. Application Systems Developer,08/26/2025,25-02271,"Davis, CA","RT | Sr. Application Systems Developer | Accepting Candidates | P1 | Data | _Job #1100924 | Open         Sr. Application Systems Developer   Location: Davis, CA   Client: UC Davis    	  		  			   			   			  			Senior Application Developer functions / duties:    			Under general direction of the team supervisor and a lead developer, the agency contractor will   			serve as a full-stack developer fo...",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108879,1,International Solution Sources Inc 
Data Engineer,08/26/2025,25-02270,Fremont,"Role : Certified Databricks Consultant(11+ Years)   Location : TX/GA/CA   Duration : Long-term   Client: IBM/AT&T      Skills:   Need Certified Dataricks Consultant with good experience in Spark and PySpark   Experience with Azure, Python and SQL.",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108879,1,International Solution Sources Inc 
Oracle Cloud Functional Resource,08/26/2025,25-02269,N/A,"Role: Oracle Cloud Functional Resource   Location: Remote   Duration: 11+ months   MoI: 2 Video Rounds      Responsibilities:    	Implement Oracle Cloud Financial applications with a strong focus on configuration, testing, and troubleshooting to ensure optimal performance and user satisfaction  	Design application configurations, emphasizing Oracle Ledger design, Chart of Accounts (COA) mapping, F...",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108880,1,International Solution Sources Inc 
IT Security,08/26/2025,25-02268,N/A,"Role: IT Security Engineer   Location: 100% Remote, East Coast (close to major airport hub for ease of travel)   Duration: 6-12 months C2H with possible extension   MoI: 2 Video         Qualifications:   Knowledge/Experience/Certifications:   • Required / Preferable: Knowledge of USG CUI Program, CMMC framework, NIST SP 800-171, FAR 52.204-21, DFARS 252.204-7012, and DFARS 252.204-7020.   &bu...",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108881,1,International Solution Sources Inc 
DATA INTEGRATION ENGINEER,08/26/2025,25-02267,N/A,"Role: DATA INTEGRATION ENGINEER   Location: Hybrid in Worcester, MA 3days/week (Local or from nearby states who can relocate on day 1)   Duration: 6+ months CTH   MoI: 2 Video and F2F for local or within drivable distance candidates      Overview/ Summary: DATA INTEGRATION ENGINEER   Data engineering is the aspect of data science that focuses on practical applications of data collection and analys...",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108881,1,International Solution Sources Inc 
Network / Email Security Engineer,08/26/2025,25-02266,N/A,"Job Title:  Network / Email Security Engineer   Location: Frisco, TX (at least two days on site per week)   Duration: 6+ months   MoI: 2 Video      Job Description:       Responsible for designing, implementing, and maintaining an organization's network infrastructure, including email systems, to ensure reliable communication and data exchange. This role involves a combination of technical exp...",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108882,1,International Solution Sources Inc 
Sr Software Engineer,08/26/2025,25-02265,N/A,"Role: Sr Software Engineer   Location: hybrid - Malvern, PA (3 days in office)   MoI: Phone and Final F2F      Client is currently seeking a Senior Software Engineer to join the Information Technology team at our corporate office in Malvern, PA. The Senior Software Engineer will be responsible for the technical innovation and leadership of Client's enterprise store operating platform.      Who...",https://www1.jobdiva.com/portal/?a=62jdnw10t7d77ytz0lbaey9qxonk3b05a9tqw96rb7z6hlfo7xj79l9g6mp6aj2o&compid=0#/,2025-08-27T15:40:38.108882,1,International Solution Sources Inc 
