title,date,jobId,location,description,url,scraped_at,page_number,Contractor
USA - Product Development Scientist,$1-42/hour,08/27/2025,25-279762,"ROLE DESCRIPTION             Product Development           Scientist           Work level:                               1B/1C           Schedule:                                 Contract           Location:                                  Englewood Cliff, NJ           Function:                                  R&D            Reports to:                           Senior Manager, New Product Devel...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548577,1,LanceSoft Inc.
"Contingent Clinical Care LVN/LPN Float in Shawnee, KS",08/27/2025,25-279703,"Shawnee, KS","Job ID: 25-279703       Job Title: ‘Contingent Clinical Care LVN/LPN Float’       Position Type: Full-Time Contract Role       Location: Shawnee, KS 66226      Work Type: Floating – nearby clinics       Est. Pay Range: $35.00/Hour to $37.00/Hour on W2 (USD)      Schedule: M, W, Th, F 9am-7pm, No Weekends. No Holidays        Duties   &b...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548583,1,LanceSoft Inc.
Scientific Laboratory Technician,$25/hour,08/27/2025,25-279618,"Pay Rate: $25.00/Hour on W2 (All Inclusive)      Must Have:   2 years of College (college Student) in Chemistry/Biology related fields   Hands-on Lab experience   Or a combination of High School + a Couple of years of lab experience/production lab environment   Microsoft Office basic knowledge (Excel, Word)         Responsibilites:   Perform benchtop analysis of new and existing formulations.   As...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548584,1,LanceSoft Inc.
"HR Operations Specialist, Total Rewards",$38-40/hour,08/27/2025,25-279531,"Job Description:   Title:               HR Operations Specialist, Total Rewards   Location:       Southfield, MI   Duration:       0-12 Months   Shift:              Mon, Wed, Fri 9am to 4pm   Pay:                $38.00/Hour  ...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548585,1,LanceSoft Inc.
USA_Helper,$15-19/hour,08/27/2025,25-279527,"Job Description:   Title: Production Helper   Location: Houston, TX   Duration: 12 Months   Pay: $19.00/Hour   Shift: Monday to Friday – 8 Hour Shifts    	1st Shift: 5:00 AM – 1:30 PM  	2nd Shift: 1:00 PM – 9:30 PM  	3rd Shift: 9:00 PM – 5:30 AM (depending on needs)       Job Responsibilities:      	Setting up, monitoring and operating CV line/s and other pieces of equipmen...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548586,1,LanceSoft Inc.
RN Case Manager  - Remote Role,$30 - $35/hour,08/27/2025,24-28762,"Job Responsibilities:    	The Care Manager RN leads the coordination of a multidisciplinary team to deliver a holistic, person centric care management program to a diverse health plan population with a variety of health and social needs.  	They serve as the single point of contact for members, caregivers, and providers using a variety of communication channels including phone calls, emails, text m...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548587,1,LanceSoft Inc.
Business Analyst,$30-31/hour,08/27/2025,25-279227,"Job Description:    	Analyze and interpret complex data to identify trends, patterns, and insights, ensuring accuracy and attention to detail.     	Collaborate effectively with cross-functional teams through strong communication and interpersonal skills, facilitating seamless information exchange and stakeholder engagement.     	Proficiently utilize MS Office tools, including Excel, Access, and Te...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548588,1,LanceSoft Inc.
Inventory Control Coordinator,$22/hour,08/27/2025,25-279478,"Shift: 1st shift, Monday-Friday   Duration: 12 Months   Pay range: $22.00 Hourly - $22.00 Hourly    Onsite Job   Job Description:    • Responsible for accurately receiving incoming material domestic / international and add it into the AS400 inventory management system.   • Participates in the physical inventories of warehouse, maintains accurate inventory records.   &...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548588,1,LanceSoft Inc.
Facilities Maintenance Technician,$26/hour,08/27/2025,25-279476,"Shift: M - F from 7 am - 3:30pm.   Duration: 12 Months   Pay range: $26.00 Hourly - $26.00 Hourly    Onsite Job      Key Responsibilities:   Perform basic handyman tasks including repairs to fixtures, fittings, and furniture.   Carry out planned preventive maintenance (PPM) inspections as per schedule (e.g., lighting checks, emergency equipment, HVAC filters).   Manage and supervise...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548589,1,LanceSoft Inc.
Product Support Engineer 2,$46.68-53.35/hour,08/27/2025,25-279460,"This job is with Encode, Inc a fully owned subsidiary of Lancesoft      The candidate selected for this Maintenance Engineering position will work within the Engineering Capability team to support Maintenance Engineering activities across multiple programs. This position will work collaboratively with contractors to fulfill the Product Support Engineer contractual requirements.      Position Respo...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548590,1,LanceSoft Inc.
Fulfillment Specialist,$17.69/hour,08/27/2025,25-279454,"Title:          Fulfillment Specialist   Location:   Baton Rouge, La 70813   Timing:      9:00 Am to 6:00 Pm (Mon to Fri)   Contract:   0-2 Months   Pay Rate:   $17.69/ Hour on W2 (All inclusive)       Responsibilities:   Preparing packages to ship, mail processing, package pick up, customer support with print orders, bindi...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548591,1,LanceSoft Inc.
Task Project Manager 2 - TPM2,$50-52/hour,08/27/2025,25-279444,"Job Details:   Job Title: Task Project Manager 2   Location: Columbia, AL   Duration: 6 Months   Pay Rate: $50.00 - $52.00/Hr. on W2      Job Description:   Oversees specific projects or tasks, ensuring they are executed efficiently and in accordance with project plans and regulatory standards.       Responsibilities:      	Tracking progress, coordinating resources, and ensuring compliance wi...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548591,1,LanceSoft Inc.
Healthcare Consultant III,08/27/2025,25-279442,"Columbus, OH","Job ID: 25-279442   Job Title: ‘Healthcare Consultant’   Position Type: Full-Time Contract Role   Location: OH, 43215   Work type: Remote   Est. Pay Range: $35.00/hour – $40.00/Hour on W2 (USD) (all inclusive)   Schedule: 8am-5 pm EST       Description:   Might require 20% local travel time in OH.   This role will be primarily WFH and candidates can be from anywher...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548592,1,LanceSoft Inc.
Sr UX Producer,08/27/2025,25-279435,"Boston, MA","JOB DESCRIPTION   We’re seeking a strategic and detail-oriented Sr. UX Producer to orchestrate complex, multi-disciplinary UX programs that span UX Design, User Research, Human Factors, Content Strategy, and Instructional Design. This role is ideal for someone who thrives in ambiguity, loves connecting dots across teams, and can drive clarity and momentum in fast-paced environments.      As ...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548593,1,LanceSoft Inc.
Receptionist,$20/hour,08/27/2025,25-279432,"Title:                Front Office Coordinator    Location:         Commerce City, CO    Duration:         0-03+ Months    Shift:                1st Shift (M-F 8am to 5pm)    Pay Rate: ...",https://www2.jobdiva.com/portal/?a=3djdnw5yqdh8wl3frr5t6561tvvokq01affwpxt3lcutzo4f8yt1aeiy3msk02or&compid=0&SearchString=#/,2025-08-27T15:48:20.548594,1,LanceSoft Inc.
