title,date,jobId,location,description,url,scraped_at,page_number,Contractor
BIG DATA ENGINEER,08/27/2025,25-00635,"Houston, TX","Title - BIG DATA ENGINEER   Experience Range - 7-12 yrs. expr.   Location - Houston, TX (3 Days Onsite / Week) (Local Candidates will be Preferred)   Job type: Contract    Duration: 6+ Months   Bill Rate Range: USD 75-78/hr    Work Status (Visa): (No 3rd party candidates, Candidate should be on your w2)   No. of Position: 1   Tentative start date: ASAP   Client Name - Engie North America (Please d...",https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695365,1,PeopleNTech LLC
VITA - Sr OCI Cloud Services Architect - Local Candidates ONLY,08/26/2025,25-00634,"1390 Ridgeview Drive  Allentow, VA","VITA - Sr OCI Cloud Services Architect - Local Candidates ONLY (775804)   Title/Role: VITA - Sr OCI Cloud Services Architect - Local Candidates ONLY   Region Description:   Req. Status: Open   No. of Openings: 1   Start Date: 09/22/2025   End Date: 06/30/2026   Max Submittals by Vendor: 2 Per Opening   Worksite Address: 7325 Beaufont Springs Drive Richmond, VA 23225   Account Manager: Wilson, Joan...",https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695373,1,PeopleNTech LLC
DOAS Project Coordinator (SPD),08/26/2025,25-00633,"1390 Ridgeview Drive  Allentow, GA","DOAS Project Coordinator (SPD) (775773)   Title/Role: DOAS Project Coordinator (SPD)   Region Description:   State of Georgia   Req. Status: Open   No. of Openings: 1   Start Date: 09/22/2025   End Date: 06/30/2026   No New Submittals After: 08/29/2025   Max Submittals by Vendor: 2 Per Opening   Worksite Address: 200 Piedmont Ave SE, Suite 1804 West Tower, Atlanta, GA 30334   Agency Interview Type...",https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695374,1,PeopleNTech LLC
IN-DOC-LaPorte Juvenile Teaching Assistant,08/26/2025,25-00632,"Alexandria, IN",IN-DOC-LaPorte Juvenile Teaching Assistant (775766)   Title/Role: IN-DOC-LaPorte Juvenile Teaching Assistant   Region Description:   State of Indiana   Req. Status: Open   No. of Openings: 1   Start Date: 09/15/2025   End Date: 06/30/2026   No New Submittals After: 09/02/2025   Max Submittals by Vendor: 2 Per Opening   Work Arrangement: Onsite   Worksite Address: 2407 N. County Road 500 W La Porte...,https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695375,1,PeopleNTech LLC
GDOT IT Architect 1,08/26/2025,25-00631,"1390 Ridgeview Drive  Allentow, GA","GDOT IT Architect 1 (775218)   Title/Role: GDOT IT Architect 1   Region Description:   State of Georgia   Req. Status: Open   No. of Openings: 1   Start Date: 09/29/2025   End Date: 06/30/2026   No New Submittals After: 09/08/2025   Max Submittals by Vendor: 2 Per Opening   Worksite Address: 600 West Peachtree St., Atlanta, GA 30308   Agency Interview Type: Either Web Cam or In Person   Work Arran...",https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695376,1,PeopleNTech LLC
Permit Specialist,08/26/2025,25-00630,"Alexandria, NC","505 Deaderick Street Suite 500   Nashville,     37243   Pay rate - $25-27/hr on W2            Requisition ID   64593    Created On    07/01/2025 11:32 AM EDT    Date/Time Posted    08/22/2025 4:33 PM EDT    Requisition Name   Permit Specialist    Folder   40100 - Traffic Operations    Customer   TN DOT    Quantity Requested   1    Submission Deadline    08/29/2025    Description   Job Title: Permi...",https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695377,1,PeopleNTech LLC
Managed Care Specialist,08/26/2025,25-00629,"Alexandria, TN",Pay rate - $!9-21/hr on W2            Requisition ID   64812    Created On    08/20/2025 4:39 PM EDT    Date/Time Posted    08/20/2025 4:47 PM EDT    Requisition Name   Managed Care Specialist     Folder   Member Services    Customer   TN TennCare    Quantity Requested   10    Submission Deadline    08/28/2025    Description   Our Client is looking to hire a Managed Care Specialist for a hybrid ro...,https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695378,1,PeopleNTech LLC
IN-IDOA EVENT SET UP CREW,08/25/2025,25-00628,"Alexandria, IN","IN-IDOA EVENT SET UP CREW (775741)   Title/Role: IN-IDOA EVENT SET UP CREW   Region Description:   State of Indiana   Req. Status: Open   No. of Openings: 1   Start Date: 09/15/2025   End Date: 12/20/2025   No New Submittals After: 08/29/2025   Max Submittals by Vendor: 2 Per Opening   Work Arrangement: Onsite   Worksite Address: 402 W WASHINGTON ST    ROOM#140 INDIANAPOLIS, IN, 46204      Agency ...",https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695379,1,PeopleNTech LLC
FL-DOH-Marion County-Dental Assistant,08/25/2025,25-00627,"Alexandria, FL","FL-DOH-Marion County-Dental Assistant (774427)   Title/Role: FL-DOH-Marion County-Dental Assistant   Region Description:   Florida Temp Staffing   Req. Status: Open   No. of Openings: 1   Start Date: 08/15/2025   End Date: 06/30/2026   No New Submittals After: 09/02/2025   Max Submittals by Vendor: 5 Per Opening   Worksite Address: 1501 W. Silver Springs Blvd., Ocala, FL 34475    or alternating sc...",https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695380,1,PeopleNTech LLC
GA DHS Systems Support Tech,08/25/2025,25-00626,"Alexandria, GA","GA Client Systems Support Tech (775610)   Title/Role: GA Client Systems Support Tech   Region Description:   State of Georgia   Req. Status: Open   No. of Openings: 1   Start Date: 09/29/2025   End Date: 06/30/2026   No New Submittals After: 09/03/2025   Max Submittals by Vendor: 2 Per Opening   Worksite Address: 47 Trinity Ave SW, Atlanta, GA 30334   Agency Interview Type: Web Cam Interview Only ...",https://www2.jobdiva.com/portal/?a=uyjdnwvshmgct11yupcty61zaotoqj0ae903es8j5sbb7vmns20xtqz6k0lzo6zk&compid=-1#/,2025-08-27T15:53:15.695380,1,PeopleNTech LLC
