title,date,jobId,location,description,url,scraped_at,page_number,Contractor
Senior Software Developer,08/26/2025,25-03388,"Austin, TX","Solicitation Reference Number: 70126015  			Working Title: Senior Software Developer  			Title/Level: Developer/Programmer Analyst 3  		  		  			Category: Applications/Software Development  			Full Time  			NTE Rate:$104.50  		  	        I.  DESCRIPTION OF SERVICES         Texas Education Agency requires the services of 1 Developer/Programmer Analyst 3, hereafter referred to as Candidate(s), who m...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859110,1,Smart Information Management Systems Inc
Digital Accessibility Project Manager,08/25/2025,25-03373,"Hartford, CT","Digital Accessibility Project Manager   12 Months   Remote   Hartford,  Connecticut         Required Experience   10+ years of Project Management experience, managing large-scale, high-visibility technology projects   Experience with accessibility, WCAG, Section 508, or ADA compliance projects strongly preferred   Experience managing QA/test-heavy projects and cross-discipline agile teams   Demons...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859115,1,Smart Information Management Systems Inc
Digital Accessibility Web Developer,08/25/2025,25-03372,"Hartford, CT","Senior Digital Accessibility Web Developer       Quantity Requested 2       12 Months       Location- Remote       Hartford,  Connecticut    06103           You'll partner with digital accessibility testers to review audit findings and make front end code corrections to ensure WCAG 2.1 AA compliance.           You'll work across multiple department systems - including websites, portals, forms, app...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859116,1,Smart Information Management Systems Inc
Digital Accessibility Tester,08/25/2025,25-03370,"Hartford, CT","This role requires strong QA practices, proactive problem-solving, and an ability to meet consistent project deadlines.      Required Knowledge, Skills, and Ability   •         Bachelor's degree is required, preferably in the field of Computer Science, Software Engineering, IT, Web Development, Library or Informational Science, or Human Computer Interaction   •         3+ years of ha...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859117,1,Smart Information Management Systems Inc
Project Manager 3,08/22/2025,25-03368,"Austin, TX",5 - Vision - articulate a clear view of the application and technology roadmap. coordinate the initiation and planning of diverse projects to meet strategic application and technology roadmap commitments.   This project manager will lead the application team responsible for building a 1st-3rd grade supplemental grant program and also building a statewide IEP module within an existing application. ...,https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859118,1,Smart Information Management Systems Inc
Project Manager,08/22/2025,25-03367,"Bolivar, TN","Grants Analyst    Under general supervision, this position is responsible for performing advanced professional grants analytic work of considerable difficulty, specifically for the State and Local Cybersecurity Grant Program (SLCGP). The contractor will work with the Federal Emergency Management Agency (FEMA), the Tennessee Emergency Management Agency (TEMA), and Strategic Technology Solutions (ST...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859120,1,Smart Information Management Systems Inc
Power Apps Developer,08/22/2025,25-03366,St. Petersburg FL,Key Responsibilities      	Design and develop custom business applications using Power Apps (Canvas and Model-Driven).  	Automate workflows and integrate systems using Power Automate.  	Collaborate with stakeholders to gather requirements and translate them into scalable solutions.  	Maintain and optimize existing Power Platform solutions.  	Ensure data integrity and security across all applicatio...,https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859122,1,Smart Information Management Systems Inc
Applications Architect 3 (Hybrid/Austin),08/22/2025,25-03365,"Austin, TX","We are seeking a highly skilled and experienced Software Development Manager to lead the development and maintenance of multiple enterprise applications simultaneously. This role involves managing a blended team of full-time and contracted developers, applying SDLC best practices, and ensuring alignment with business goals. The ideal candidate will have strong technical expertise in .NET technolog...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859123,1,Smart Information Management Systems Inc
M&A- Functional Project Manager,08/22/2025,25-03362,N/A,"M&A- Functional Project Manager        6-12+ Months       Fully Remote           Description:      We are seeking a highly organized and strategic Functional Project Manager to lead cross-functional initiatives,  particularly focused on mergers and acquisitions (M&A). The ideal candidate will have hands-on experience managing complex integration projects, utilizing Smartsheet for planning and trac...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859124,1,Smart Information Management Systems Inc
Business Analyst 3,08/21/2025,25-03355,"Austin, TX","The Business Analyst (BA) position at the Texas Education Agency works on multiple projects that support the mission of the agency of improving outcomes for Texas students, with a focus on the early childhood integrated data system project.    This position performs advanced, senior-level business analysis work as well as user experience design work to ensure a positive and productive end user exp...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859125,1,Smart Information Management Systems Inc
Business Analyst 3,08/15/2025,25-03335,"Austin, TX",Minimum Requirements:   			Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.  		  		  			Years  			Required/Preferred  			Experience  		  		  			8  			Required  			Experience eliciting requirements from interviews with customers and creating well-written system requirements  		  		  	...,https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859126,1,Smart Information Management Systems Inc
Developer/Programmer Analyst 3,08/15/2025,25-03334,"Austin, TX","Minimum Requirements:   			Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.  		  		  			Years  			Required/Preferred  			Experience  		  		  			8  			Required  			Web Technologies: Basic to intermediate knowledge of JavaScript, HTML, and CSS for front-end development.  		  		  			3  ...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859126,1,Smart Information Management Systems Inc
Help Desk Technician consultant,08/15/2025,25-03333,"Hartford, CT",A minimum of one (1) year of prior experience demonstrating the following knowledge    and skills:    1. PC Hardware and software installation    2. End user support - face to face and via telephone    3. Excellent customer service skills        It's highly desirable that the candidate also have:    1. Experience with computer system and user administration.    2. Technical familiarity with Mi...,https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859127,1,Smart Information Management Systems Inc
Project Lead 3,08/15/2025,25-03332,"Austin, TX","Develop, prepare and track budget and LAR documents for various projects.    	  		  			Minimum Requirements:   			Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.  		  		  			Years  			Required/Preferred  			Experience  		  		  			20  			Required  			Knowledge of government regulatio...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859128,1,Smart Information Management Systems Inc
Project Lead 3,08/15/2025,25-03331,N/A,"Overseeing the contract management/monitoring process which includes tasks such as examining scope, billing, fiscal data and eligibility determinations for compliance with contract and grant terms and departmental policies; coordinating and participating in vendor discussions/negotiations; processing of contract and grant documents to ensure understanding and authorizations of contract and grant r...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859129,1,Smart Information Management Systems Inc
Creative Graphic Design,08/15/2025,25-03330,"Bolivar, TN",A contracted part-time graphic designer will support this initiative by delivering high-quality visual assets and design systems that align with messaging and outreach goals.   This position will work 20 hours/week for a span of approx. three months.    This position is remote and has a flexible work schedule Monday-Friday. Preferred candidate would reside in Tennessee. We will provide necessary t...,https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859130,1,Smart Information Management Systems Inc
Service Desk Personnel,08/15/2025,25-03329,"Bolivar, TN",This role is NOT focused on tech-based helpdesk tickets.  Our team is not responsible for hardware or connectivity issues or general desktop support.  This role is more closely aligned to a system administrator role and all prior experience should be based on system administration of an application or program.  Candidates with only hardware-based help-desk experience will not be considered.   Posi...,https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859130,1,Smart Information Management Systems Inc
Software Developer/ javafullstack developer,08/11/2025,25-03298,"Austin, TX","Develops software solutions by studying information needs, conferring with users, and studying systems flow, data usage, and work processes. Investigates problem areas. Prepares and installs solutions by determining and designing system specifications, standards, and programming.   ﻿This contractor role is for a Senior Java Developer, and they will work on the PCS SCOR EI. This role will be...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859131,1,Smart Information Management Systems Inc
Project Manager,08/11/2025,25-03297,"Austin, TX","The Department of Public Safety (DPS) requires the services of 2 Project Managers hereafter referred to as Worker, who meets the general qualification of Project Manager, Level 2, Emerging Technology and the specifications outlined in this document for DPS. Various technology and innovation projects that directly impact the daily operations of DPS to achieve Agency missions, goals, and objectives....",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859132,1,Smart Information Management Systems Inc
Business Analyst Sr,08/08/2025,25-03292,"Hartford, CT","must have a minimum of 5 years of experience in technical business analysis.  Please indicate knowledge and experience related to these areas on résumés.    	Perform hands on application development including architecture, design, coding, configuration, maintenance and installation  	Responsible for creating deliverables (requirements specifications, design deliverable, status report...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:49.859133,1,Smart Information Management Systems Inc
Senior Software Developer,08/26/2025,25-03388,"Austin, TX","Solicitation Reference Number: 70126015  			Working Title: Senior Software Developer  			Title/Level: Developer/Programmer Analyst 3  		  		  			Category: Applications/Software Development  			Full Time  			NTE Rate:$104.50  		  	        I.  DESCRIPTION OF SERVICES         Texas Education Agency requires the services of 1 Developer/Programmer Analyst 3, hereafter referred to as Candidate(s), who m...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:53.945636,2,Smart Information Management Systems Inc
Digital Accessibility Project Manager,08/25/2025,25-03373,"Hartford, CT","Digital Accessibility Project Manager   12 Months   Remote   Hartford,  Connecticut         Required Experience   10+ years of Project Management experience, managing large-scale, high-visibility technology projects   Experience with accessibility, WCAG, Section 508, or ADA compliance projects strongly preferred   Experience managing QA/test-heavy projects and cross-discipline agile teams   Demons...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:53.945645,2,Smart Information Management Systems Inc
Digital Accessibility Web Developer,08/25/2025,25-03372,"Hartford, CT","Senior Digital Accessibility Web Developer       Quantity Requested 2       12 Months       Location- Remote       Hartford,  Connecticut    06103           You'll partner with digital accessibility testers to review audit findings and make front end code corrections to ensure WCAG 2.1 AA compliance.           You'll work across multiple department systems - including websites, portals, forms, app...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:53.945647,2,Smart Information Management Systems Inc
Digital Accessibility Tester,08/25/2025,25-03370,"Hartford, CT","This role requires strong QA practices, proactive problem-solving, and an ability to meet consistent project deadlines.      Required Knowledge, Skills, and Ability   •         Bachelor's degree is required, preferably in the field of Computer Science, Software Engineering, IT, Web Development, Library or Informational Science, or Human Computer Interaction   •         3+ years of ha...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:53.945648,2,Smart Information Management Systems Inc
Project Manager 3,08/22/2025,25-03368,"Austin, TX",5 - Vision - articulate a clear view of the application and technology roadmap. coordinate the initiation and planning of diverse projects to meet strategic application and technology roadmap commitments.   This project manager will lead the application team responsible for building a 1st-3rd grade supplemental grant program and also building a statewide IEP module within an existing application. ...,https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:53.945650,2,Smart Information Management Systems Inc
Project Manager,08/22/2025,25-03367,"Bolivar, TN","Grants Analyst    Under general supervision, this position is responsible for performing advanced professional grants analytic work of considerable difficulty, specifically for the State and Local Cybersecurity Grant Program (SLCGP). The contractor will work with the Federal Emergency Management Agency (FEMA), the Tennessee Emergency Management Agency (TEMA), and Strategic Technology Solutions (ST...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:53.945651,2,Smart Information Management Systems Inc
Power Apps Developer,08/22/2025,25-03366,St. Petersburg FL,Key Responsibilities      	Design and develop custom business applications using Power Apps (Canvas and Model-Driven).  	Automate workflows and integrate systems using Power Automate.  	Collaborate with stakeholders to gather requirements and translate them into scalable solutions.  	Maintain and optimize existing Power Platform solutions.  	Ensure data integrity and security across all applicatio...,https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:53.945652,2,Smart Information Management Systems Inc
Applications Architect 3 (Hybrid/Austin),08/22/2025,25-03365,"Austin, TX","We are seeking a highly skilled and experienced Software Development Manager to lead the development and maintenance of multiple enterprise applications simultaneously. This role involves managing a blended team of full-time and contracted developers, applying SDLC best practices, and ensuring alignment with business goals. The ideal candidate will have strong technical expertise in .NET technolog...",https://www1.jobdiva.com/portal/?a=cmjdnw1bvyjxtq68o7g7dd2jm1091008baeky998vclszltgw5pmhzeoimy2btd7&compid=-1#/,2025-08-27T15:56:53.945653,2,Smart Information Management Systems Inc
