title,date,jobId,location,description,url,scraped_at,page_number,Contractor
IT- Business Analyst - Senior,08/27/2025,25-10027,"Oakland, CA","Job Title: IT- Business Analyst - Senior   Job ID: 25-10027   Location: Oakland, CA   Duration: 12 months on W2 contract       ***OPEN TO NON -LOCALS BUT HM PREFERS LOCAL *** Non-locals must be willing and committed to work PST hours.   ***Hybrid, onsite as needed and will probably be limited to 1-2 times/month****       TOP THINGS:          	Asset Work Management, Electric Generati...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143611,1,Sunrise Systems Inc
Research Support Technician/Data Entry Clerk,08/27/2025,25-10026,"Neenah, WI","Our client, a leading Consumer Goods Manufacturing Company is looking for Research Support Technician/Data Entry Clerk and This is for an initial duration of 03-04 Months Contract – Neenah, WI       Job Title: Research Support Technician/Data Entry Clerk   Job Id: 25-10026   Location: Neenah, WI   Duration: 03-04 Months Contract   Position Type: Hourly Contract Position (W2 only)   &nbs...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143618,1,Sunrise Systems Inc
Scientific - Lab Technician,08/27/2025,25-10024,"North Logan, UT","Our client, a leading Medical Devices Manufacturing Company is looking for Scientific - Lab Technician and This is for an initial duration of 06 Months Contract – North Logan, UT       Job Title: Scientific - Lab Technician   Job Id: 25-10024   Location: North Logan, UT   Duration: 06 Months Contract   Position Type: Hourly Contract Position (W2 only)    	Shift: Monday to Friday 8am to ...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143619,1,Sunrise Systems Inc
Program Manager I,08/27/2025,25-10018,"Bengaluru, Karnataka","Our client, a leading Consumer Goods Manufacturing Company is looking for Program Manager I and This is for an initial duration of 06 Months Contract – Remote Role.       Job Title: Program Manager I   Job Id: 25-10018   Location: Remote Role   Duration: 06 Months Contract    	Position is 100% remote - Must be ok working CST or EST core business hours. [6PM to 03 AM IST or 07.00 PM to 0...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143620,1,Sunrise Systems Inc
Manufacturing Services Associate / Manufacturing Operator (Day Shift),08/26/2025,25-10012,"Portsmouth, NH","Job Title: Manufacturing Services Associate / Manufacturing Operator (Day Shift)   Location: Portsmouth, NH 03801   Duration: 12+ months   Position Type: Hourly contract Position (W2 only)       Note:   This role is on the manufacturing shift which is Days: 7 AM - 7 PM: 12hr days Every other weekend - same schedule as Manufacturing Associates.        	The Manufacturing Services Associate...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143621,1,Sunrise Systems Inc
Customer Service 1,08/26/2025,25-10011,"Boston, MA","Our client, a leading athletic footwear and apparel manufacturing company, is looking for a Customer Service 1. This is for an initial duration of 08 months and is located at Boston, MA.       Job Title: Customer Service 1   Reference ID: 25-10011   Location: Boston, MA   Duration: 08 months   Job Type: Contract (Candidates must be able to work on W2 without VISA sponsorship)     &n...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143621,1,Sunrise Systems Inc
Data Analyst - IT/Data Analyst III,08/26/2025,25-10009,"Bellevue, WA","Job Title: Data Analyst - IT/Data Analyst III   Job ID: 25-10009   Location: Bellevue WA and Herndon VA(Hybrid (3 days in the office, 2 remote))   Duration: 12 months on W2 contract       Overview:       Seeking a skilled Data Analyst to drive data-driven decision-making through report building, requirements gathering, and dashboard development. This role supports cross-functional teams ...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143622,1,Sunrise Systems Inc
QA Engineer Automated 2,08/26/2025,25-10003,"Remote, TX","Job Title: Software Quality Assurance Tester     Job ID: 25-10003     Location: Remote     Duration: 12 months of contract          Description of Services:         The Software QA Engineer performs advanced and/or supervisory computer systems analysis and team lead work, administering the daily operations and activities of testing teams within the Quality Assurance (QA) section of IT-SEDS (Inform...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143623,1,Sunrise Systems Inc
Analytical Coordinator or Lab Technician,08/26/2025,25-09994,"Greenwood, SC","Job Title: Analytical Coordinator/Lab Technician   Location: 535 North Emerald Road, Greenwood, SC 29646   Duration: 6 Months   Position Type: Hourly Basis on W2 only       Description   Workspace: PD and QC department   Eligibility: Candidate who recently completed bachelor’s degree or are Master’s student nearing graduation       Specific job responsibility:    	Conduct ind...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143624,1,Sunrise Systems Inc
Service Support Analyst- Senior,08/26/2025,25-09991,"Raleigh, NC","Job Title: Service Support Analyst- Senior   Job ID: 25-09991   Location: Raleigh, NC   Duration: 09 months of contract       Overview:       Client seeks a Service Desk Technician II to support increased demand and maintain SLA performance. This role provides advanced technical support via phone, chat, and portal, and assists with Identity Proofing Deployment.       Key Responsibil...",https://www1.jobdiva.com/portal/?a=wkjdnw09prvv1eg1pbdvc2i59i8c2x01161ji2zesa7n9avk5oeonhko8x19lmnq&compid=0#/,2025-08-27T15:59:42.143625,1,Sunrise Systems Inc
