title,date,jobId,location,description,url,scraped_at,page_number,Contractor
SAP Vistex Consultant,08/26/2025,25-22392,"Burbank, CA","Required Skills:    	Looking for SAP Vistex Functional lead with at least 10 years of working experience.  	Can configure Vistex modules such as Vistex Rights and Royalties, Vistex Contracts Management, Vistex Pricing Agreement, Chargebacks and Rebates etc.  	Experience in SAP Vistex implementation and SAP SD.  	Strong understanding of SAP Vistex business scenario, frontend operations, backend con...",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496071,1,Syntricate Technologies Inc.
Data Analyst (with AFC and Actimize Experience),08/26/2025,25-22391,"NYC, NY","Required Skills:     	Data analyst with Anti money laundering experience and actimize certification.   	Actimize Certification, Anti-financial crime(AFC), SQL, Data Analysis, Data Collection and Management, Reporting tools, Transaction Monitoring – Actimize, Suspicious Activity Monitoring(SAM)",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496075,1,Syntricate Technologies Inc.
Data Analyst (with Banking/Payment exp),08/26/2025,25-22390,"NYC, NY","Required Skills:    	Data Analysis,  Banking/Payment experience with SQL Knowledge",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496076,1,Syntricate Technologies Inc.
WebMethods Platform Migration Consultant,08/26/2025,25-22389,"Orlando, FL","Required Skills:    	Hands on Experience in SoftwareAG WebMethods Administration (Integration Server, Universal messaging, Trading Networks)  - Must    	WebMethods Upgrade with Platform Migration experience - Must  	Splunk Knowledge – Must    	7-10 years of experience in Integration with strong WebMethods Administration skills     	Very Good working knowledge of Software AG WebMethods Admini...",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496077,1,Syntricate Technologies Inc.
Enterprise Architect – Corporate Functions (Finance Risk HR Procurement),08/26/2025,25-22388,"Buffalo, NY","Enterprise Architect – Corporate Functions (Finance Risk HR Procurement)       Buffalo, NY Preferred (3 days onsite/2 days remote) / Remote (Will be expected to travel to Buffalo, NY every 4-6 weeks with Monday through Thursday in office)        6+-month contract to hire        Web Cam Interview            $75-$80.62/Hr on W2            Client will pay the expenses for travel.            NOT...",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496077,1,Syntricate Technologies Inc.
JIRA Admin,08/26/2025,25-22377,"St. Louis, MO","Please take a moment to review the job description below. If you are interested in applying,   please reply so we can discuss it more  .        This is a    Full-Time / Permanent Position   .    You will be directly working with an end client for this position.      The interview process will be initiated as soon as possible.       We   are excited to hear   back from you.                  Job Des...",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496078,1,Syntricate Technologies Inc.
Full Stack java developer with ReactJS Exp,08/25/2025,25-22368,"Sunnyvale, CA","Required Skills:    	Java, React, strong knowledge of algorithms and data structures, cloud application development, automation tools, CI/CD pipeline, and a proven understanding of microservices and REST APIs",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496079,1,Syntricate Technologies Inc.
Android Developer,08/25/2025,25-22367,"Sunnyvale, CA","Required Skills:    	Kotlin/Java, Familiar with latest Android concepts, Android SDK, different versions of Android, RESTful APIs to connect Android applications to back-end services",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496080,1,Syntricate Technologies Inc.
iOS Developer,08/25/2025,25-22366,"Sunnyvale, CA","Required Skills:    	Objective-C or Swift, iOS frameworks such as Core Data, Core Animation, MVVM, VIPER, MVP, offline storage, threading, and performance tuning, mobile (web/native) development, App Profiling.",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496080,1,Syntricate Technologies Inc.
Data Engineer with Hadoop and java exp,08/25/2025,25-22365,"Sunnyvale, CA","Required Skills:    	Java, Python, Scala, API development, GQL, Node.js, Hadoop, Hive, Spark using Scala, Vertex AI, Presto/Trino, Kubernetes, Cloud, Automic, Airflow and Data Lake concepts, Luigi, Airflow, Experience with stream-processing systems: Storm, Spark-Streaming, etc.",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496081,1,Syntricate Technologies Inc.
Back End java developer,08/25/2025,25-22364,"Sunnyvale, CA","Required Skills:    	Java, React, strong knowledge of algorithms and data structures, cloud application development, automation tools, CI/CD pipeline, and a proven understanding of microservices and REST APIs",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496082,1,Syntricate Technologies Inc.
SAP SD Consultant,08/22/2025,25-22333,"Santa Clara, CA","Required Skills: 10+ Year experince       	  SME with EXPERT KNOWLEDGE in SAP SD/RAR functionality in all the areas of Revenue Accounting & Reporting     	  8+ years of experience as Sr. SAP SD Business Analyst leading projects in SAP ECC 6.0/ S4 Hana and SAP BRIM.    	  Additional experience in the RAR (RAR, PS, Revenue) functional area will be an advantage.    	  Excellent communication skills w...",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496082,1,Syntricate Technologies Inc.
OFSAA ECM Developer,08/21/2025,25-22326,Remote,"Required Skills:    	Skill set – OFSAA 8.x, ECM, FCCM, Data Mapping  	Good knowledge of OFSAA ECM, FCCM data models especially Case Management tables.  	Good knowledge of Data Flow in OFSAA - FCCM. From Source to Case tables. (ECM, KYC, Batches for loading the data from the Staging table into the FSDM table, Data flow for KYC risk assessment to ECM case)  	Good knowledge of OFSAA Architectur...",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496083,1,Syntricate Technologies Inc.
Full Stack .Net  Developers with Azure,08/21/2025,25-22323,"Redmond, WA","Required Skills:   *iscalable applicable for architecture and Kubernetes  deployment,  dot net , c# collection web API , azure  .performance management scenario base question*    	Technical / Soft Skills  Expertise Level (Expert / Good / Knowledge)  	7-10 years of experience in software architecture and design    Expert  	Deep understanding of Microsoft Azure services and Azure DevOps, .net, C#, O...",https://www1.jobdiva.com/portal/?a=qijdnwkcfji6ce2sbpmtvrqtkz4c1209b30fbm11245orqe0rjhoimty71n7k1lf&compid=0#/,2025-08-27T16:00:25.496084,1,Syntricate Technologies Inc.
