title,date,jobId,location,description,url,scraped_at,page_number,Contractor
Clinical Care LVN/LPN Float,08/27/2025,25-46393,"Shawnee, KS","Duration: 6+ months contract      Position Summary    	As the largest retail health care provider in the nation, and an industry leading offers the unique opportunity to deliver affordable, accessible comprehensive high-quality care that meets the needs of our patients, their families, and our communities. You’ll be empowered to provide holistic patient care to ...",https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001954,1,US Tech Solutions Inc.
ChangeMan Cobol Programmer,$51.00-52.75/hour,08/27/2025,25-46341,"Duration: 12 months contract (with possible extension)         COMPANY / DEPARTMENT CULTURE (why do you enjoy working for the company – selling points for potential candidates):      	Challenging, fast-paced, team environment working on Medicaid System.           SCOPE OF THE PROJECT:      	This project includes making federally mandated changes for the Medicaid System of SC. This ...",https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001959,1,US Tech Solutions Inc.
Engineering Program Manager – Cloud & Strategic Initiatives,08/27/2025,25-46378,"Kirkland, WA","Duration: 6 Months (Hybrid)      Job Description:     	We are seeking an experienced Senior Technical Program Manager with a proven track record in driving complex, cross-functional engineering initiatives.  	The ideal candidate is a strategic thinker with strong leadership skills and experience managing large-scale programs in cloud infrastructure, security, machine learning, and global product s...",https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001960,1,US Tech Solutions Inc.
Technical Recruiter,08/27/2025,25-46366,"Salisbury, NC \ Quincy, MA \","Duration: 3 to 4 months with possibility of turning into perm.   Schedule type: Hybrid/3 in-person days and 2 remote days      Primary Purpose      	Manages the entire life cycle recruiting process, from sourcing, assessing, and recruiting inclusive talent for all positions assigned, with a primary focus on supporting corporate recruiting efforts that attract top talent to the organization in a fa...",https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001961,1,US Tech Solutions Inc.
Customer Service Representative,$17-19/hour,08/27/2025,25-46362,Timing:  8am to 8pm CT (8-hour shifts Mon - Fri)   Duration: 3 + FTE Possibility                                                     &n...,https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001961,1,US Tech Solutions Inc.
Customer Service Representative,$18-19/hour,08/27/2025,25-46356,Timing:  8am to 8pm CT (8-hour shifts Mon - Fri)   Duration: 3 + FTE Possibility                                                     &n...,https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001962,1,US Tech Solutions Inc.
Customer Service Representative,$18-19/hour,08/27/2025,25-46350,Timing:  8am to 8pm CT (8-hour shifts Mon - Fri)   Duration: 3 + FTE Possibility                                                     &n...,https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001963,1,US Tech Solutions Inc.
Management Consulting Strategy & Operations Manager,08/26/2025,25-46332,"Mountain View, CA","Duration: 7 Months (Hybrid)      Job Description:    	The client is seeking a Management Consulting Strategy & Operations Manager with previous experience at a major consulting firms providing strategic operational support. Corporate strategy experience is also considered highly relevant to the role.  	In this role, you will contribute to core problem structuring, owning research, data gatheri...",https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001964,1,US Tech Solutions Inc.
Image Processing Engineer,$53/hour,08/26/2025,25-46289,"Duration: 6 months contract with possible extension        Job Description:    	Investigation orientated image processing – develop an algorithm to extract specify feature(s) from a set of images. Then, study the consistency or inconsistency of extracted feature(s) throughout these images to obtain important information about a process   	     Required Skills        	High comp...",https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001965,1,US Tech Solutions Inc.
Senior Project Manager - Nuclear Projects,$80-100/hour,08/26/2025,25-46313,"Description:    	Manages projects and programs typically greater than $10M total cost including planning, scheduling, and control of activities independently. Leads project teams greater than ten people.  	Typically assigned multidiscipline projects and programs involving the most complexity, highest risk, highest financial investment, and requiring strong leadership. Establishes priorities within...",https://www1.jobdiva.com/portal/?a=6mjdnwi2x2jytfqco0udrwulgv41ah00acxltt71n0hot1h237mrqojkegb16j9w&compid=0&divisions=5&t=1729176258835#/?divisions=5&,2025-08-27T16:03:27.001966,1,US Tech Solutions Inc.
