title,date,jobId,location,description,url,scraped_at,page_number,Contractor
Digital Accessibility Web Developer - Remote,08/27/2025,25-73397,"Hartford, CT","Job Description:   As a Digital Accessibility Web Developer, you will be responsible for remediating critical accessibility issues across public-facing websites, applications, forms, and digital platforms. You will apply expert-level web development skills in HTML, CSS, ARIA, and JavaScript to ensure compliance with WCAG 2.1 AA standards.        Key Responsibilities:    	Apply accessibility f...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970585,1,cyberThink
Project Manager - Remote,08/27/2025,25-73403,"Hartford, CT","Job Description:   As a Project Manager, you will lead the execution of an enterprise Digital Accessibility initiative aimed at bringing the client into compliance with federal accessibility standards for websites and digital assets. This initiative ensures equitable access to state services for all residents. You will manage all aspects of the project lifecycle, coordinate cross-functional teams,...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970592,1,cyberThink
Mobile Development Engineer in Test - Onsite,08/27/2025,25-73405,"Austin, TX","Job Description:   As a Mobile Development Engineer in Test, you will be responsible for designing, developing, and maintaining automated test solutions using Appium. You will collaborate with cross-functional teams to implement testing strategies that meet quality standards and support mobile development across iOS and Android platforms. This role involves hands-on coding, mentoring junior team m...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970593,1,cyberThink
Sr. Software Quality Analysts - Onsite,08/27/2025,25-73407,"Bloomington, MN","Job Description:   As a Sr. Software Quality Analyst, you will be involved in activities related to application quality assurance and software development process improvement. You will establish and maintain detailed metrics to demonstrate development productivity and quality, develop quality standards for systems and software, and oversee the development and execution of test plans. This role inc...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970594,1,cyberThink
Software Engineer (iOS development),08/27/2025,25-73410,"O Fallon, MO","Job Description:   As a Software Engineer (iOS development), you will contribute to the development of cutting-edge authentication products for e-commerce transactions, including ID Check, Token Authentication Service, and Token Authentication Framework. You will be part of a team that powers an inclusive digital economy through secure data, innovative solutions, and a culture of decency and inclu...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970595,1,cyberThink
Sr. Oracle Cloud Services Architect - Hybrid,08/27/2025,25-73420,"Richmond, VA","Job Description:   As an Oracle Cloud Services Architect, you will assist in the design, review, and implementation of Oracle Cloud Infrastructure (OCI) services and solutions. This role involves working with customer agencies, managed service providers, and internal teams to deliver secure, efficient, and compliant cloud solutions aligned with business and technical objectives. You will be respon...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970595,1,cyberThink
PeopleSoft HCM Functional/Technical Consultant - Remote,08/27/2025,25-73421,"Harrisburg, PA","Job Description:   As a PeopleSoft HCM Functional/Technical Consultant, you will work closely with the PeopleSoft Development and Human Resources teams to implement the Absence Management module and integrate it with the existing Payroll system. This role requires a strong understanding of PeopleSoft HCM modules and the ability to translate business requirements into effective technical solutions ...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970596,1,cyberThink
Technical Writer,08/27/2025,25-73438,"Harrisburg, PA","Job Description:   As a Technical Writer, you will support the Enterprise Data Warehouse (EDW) team in modernizing Client operations and delivering data reporting solutions. This role involves documenting technical processes, gathering requirements, supporting testing activities, and facilitating communication between stakeholders and the EDW team. You will contribute to the design and constructio...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970597,1,cyberThink
Microsoft Applications Developer (.NET/Power Platform),08/27/2025,25-73437,"Harrisburg, PA","Job Description:   As a Microsoft Applications Developer (.NET/Power Platform), you will support the Enterprise Data Warehouse (EDW) team in modernizing Client operations and delivering data reporting solutions. This role involves designing and developing .NET and Power Platform applications, supporting the transition to Microsoft Azure, and contributing to various public health initiatives. You w...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970598,1,cyberThink
Data Modeler/Architect,08/27/2025,25-73436,"Harrisburg, PA","Job Description:   As a Data Modeler/Architect, you will provide technical services to support the modernization of the Enterprise Data Warehouse (EDW) for Client and DDAP. You will be responsible for designing and maintaining data models, managing metadata, and supporting the transition to Microsoft Azure. This role involves collaborating with stakeholders to ensure scalable, secure, and efficien...",https://www2.jobdiva.com/portal/?a=mjjdnwcilxhqy7epm9098x5zp76wdb0a5d2fvc8cczlm6pnpgrqhla8uctgjm1pf&compid=-1#/,2025-08-27T15:34:06.970598,1,cyberThink
